time,LimiteUso,Transacciones
26,4700,3908
27,7243,2101
28,6347,2132
29,7642,4027
30,7473,4538
31,7812,6961
32,7951,7445
33,6917,7985
34,6552,9132
35,7010,11455
36,5891,13767
37,6673,16346
38,7506,19087
39,7135,21095
40,7352,24303
41,6924,25241
42,7579,29192
43,7361,31623
44,7269,33372
45,7532,32576
46,7409,32858
47,7710,32182
48,7288,31440
49,7214,33749
50,6984,30615
51,7412,27498
52,7499,25253
53,7379,23688
54,6822,17963
55,7268,16472
56,7360,16211
57,7541,13463
58,7887,9393
59,6407,9377
60,7036,8548
61,6915,5415
62,5802,5036
63,6338,3338
64,5418,2269
65,5599,5455
66,6485,54
67,6169,159
68,9333,53
70,6227,15
73,6051,34
